avg_established_duration,connections_per_second,failure_rate,process_to_ip_diversity,destination_diversity_score,ip_entropy,label
96809.30261,0.010890481,0.003759398,7,0.07518797,3.829980506,0
89055.19399,0.010587612,0.004166667,6.642857143,0.079166667,3.83375846,0
92287.17938,0.010310195,0.004310345,6.642857143,0.081896552,3.83596197,0
115004.0682,0.00960447,0,6.785714286,0.086363636,3.841322818,0
18880.25476,0.054691506,0,7.3,0.065625,3.397003666,0
19373.24956,0.054580555,0,7.3,0.067524116,3.403728818,0
19703.63295,0.05443403,0,7.2,0.069536424,3.398922758,0
20253.30481,0.054309546,0.003412969,7.2,0.071672355,3.403811171,0
20242.06391,0.055555556,0.003412969,7.2,0.071672355,3.388146112,0
112301.8107,0.008450704,0,6.307692308,0.118055556,3.789956362,0
21055.17849,0.053928096,0,6.777777778,0.074074074,3.205306094,0
13065.738,0.051869405,0,9.6,0.076142132,3.09598957,0
13096.80661,0.051766639,0.005291005,9.6,0.079365079,3.091110677,0
13662.54137,0.051099058,0,9.6,0.083798883,3.109647311,0
118802.985,0.008008542,0,6.230769231,0.125925926,3.784713311,0
14306.89548,0.05071599,0,11.75,0.088235294,3.126667225,0
14696.53523,0.050124533,0,11.75,0.093167702,3.121719419,0
15484.81913,0.049673203,0,11.75,0.098684211,3.140834148,0
19534.45117,0.043415756,0,11.5,0.099337748,3.078768912,0
16341.71017,0.051328069,0.006993007,11.5,0.104895105,3.092854011,0
18130.00009,0.047292143,0,11.5,0.120967742,3.128370249,0
19366.68954,0.046483428,0.008695652,11.25,0.130434783,3.156325317,0
19502.73899,0.048448789,0,11,0.131578947,3.100455363,0
100153.6966,0.007722263,0,5.615384615,0.145299145,3.797257404,0
21037.61881,0.047748977,0,11,0.142857143,3.132840128,0
23756.34689,0.043069307,0.011494253,10.75,0.172413793,3.200255438,0
25550.17006,0.041531823,0,10.5,0.194805195,3.211837949,0
25524.26118,0.044354839,0,9.75,0.181818182,3.049905678,0
32078.09614,0.037820513,0,12.33333333,0.237288136,3.228931143,0
32044.84829,0.040943789,0,11.33333333,0.220338983,3.063439411,0
3709.910071,0.098958333,0,9.333333333,0.289473684,2.861586206,0
4118.839433,0.125,0,7.333333333,0.310344828,2.732065984,0
30349.0156,0.00621822,0.00681431,5.368421053,0.044293015,3.266120921,0
27401.59033,0.070028011,0.005454545,5.882352941,0.047272727,3.195256833,0
27810.0443,0.070287125,0.007393715,5.882352941,0.04805915,3.19111401,0
27767.12768,0.069918277,0.005565863,5.882352941,0.048237477,3.190740703,0
28255.52482,0.071601615,0.007518797,5.882352941,0.04887218,3.180174579,0
27960.81605,0.069899944,0.007952286,5.823529412,0.051689861,3.171135039,0
28372.57933,0.071676301,0.010080645,5.823529412,0.052419355,3.154073218,0
28316.16376,0.07133574,0.010121457,5.882352941,0.052631579,3.168733999,0
28934.44236,0.07318175,0.010288066,5.823529412,0.053497942,3.134971567,0
29699.48962,0.072347018,0.006423983,5.764705882,0.055674518,3.142088136,0
29897.59628,0.070128648,0.011185682,5.823529412,0.058165548,3.162936176,0
30540.07589,0.071090047,0.011904762,5.764705882,0.061904762,3.150826966,0
30552.52023,0.069329184,0.012468828,6.0625,0.064837905,3.182329603,0
31154.12727,0.068104832,0.010471204,6,0.068062827,3.217130557,0
32142.35022,0.069085969,0.011235955,5.9375,0.073033708,3.200247475,0
26026.95234,0.071149874,0.022580645,6.833333333,0.077419355,3.171384506,0
22273.32813,0.068543133,0.02661597,7.888888889,0.079847909,3.110295917,0
23082.08261,0.068600868,0.027667984,7.888888889,0.083003953,3.086645009,0
22771.57921,0.068433865,0.031620553,8,0.083003953,3.118769581,0
23551.11443,0.071763327,0.028571429,7.888888889,0.085714286,3.071996205,0
25440.98681,0.067398119,0.023255814,7.666666667,0.097674419,3.109682337,0
25020.86527,0.065528059,0.037234043,7.333333333,0.106382979,3.158515769,0
26170.20226,0.065639897,0.022346369,7.111111111,0.111731844,3.146896086,0
27264.97824,0.065993789,0.023529412,7,0.117647059,3.166122704,0
27650.99645,0.063862333,0.023952096,7,0.119760479,3.183525304,0
28896.34376,0.069656073,0.0375,6.888888889,0.125,3.141091845,0
29204.87917,0.063644689,0.028776978,7,0.143884892,3.217162831,0
30991.49329,0.069779643,0.037593985,6.888888889,0.15037594,3.168243637,0
32359.37387,0.063383971,0.041322314,7,0.165289256,3.271197296,0
35633.95988,0.064935065,0.052631579,6.444444444,0.2,3.272647581,0
21883.7756,0.061626952,0.04,6.111111111,0.24,3.243567371,0
25646.7945,0.039930556,0.130434783,7.714285714,0.413043478,3.717746724,0
30432.18093,0.036363636,0.138888889,6.857142857,0.527777778,3.749897988,0
25213.48306,0.029082774,0.038461538,5.857142857,0.653846154,3.620357206,0
1771.0227,0.050955414,0,5,0.875,2.598804922,0
20438.58212,0.077377603,0.001818182,5.222222222,0.052727273,3.077638418,0
20916.4502,0.07749713,0.001851852,5.3125,0.046296296,3.042892316,0
21175.75755,0.077014043,0.001919386,5.571428571,0.044145873,3.023396495,0
21522.03527,0.077376455,0.001953125,5.5,0.044921875,3.015686824,0
16949.12544,0.080596004,0.00210084,5.307692308,0.044117647,2.980545964,0
18234.58178,0.075039494,0.002105263,5.307692308,0.044210526,2.970747865,0
17487.18431,0.081490728,0,5.454545455,0.037199125,2.9209754,0
17472.94672,0.083409381,0,5.454545455,0.037199125,2.907260006,0
17856.04821,0.082548059,0,5.454545455,0.038812785,2.910784284,0
18469.51823,0.081664398,0,5.454545455,0.04047619,2.924658668,0
18827.63164,0.082167133,0.00243309,5.454545455,0.04136253,2.911339544,0
19149.46333,0.081378451,0,9,0.040816327,2.856300319,0
19478.2498,0.08197774,0,9,0.041775457,2.855376697,0
19910.8521,0.082706767,0.002673797,9,0.042780749,2.856375467,0
20703.49108,0.081422018,0,8.833333333,0.045070423,2.860971896,0
21467.96653,0.080352885,0,8.833333333,0.047477745,2.860169156,0
21989.56048,0.081067721,0.00304878,8.833333333,0.048780488,2.857636397,0
22393.40865,0.081475788,0,8.833333333,0.050314465,2.851031911,0
22931.37206,0.082246473,0,8.833333333,0.051779935,2.846863809,0
24129.98018,0.080847505,0,8.833333333,0.055172414,2.850704195,0
24629.63074,0.081614871,0,8.833333333,0.056939502,2.849695839,0
177654.1806,0.012847966,0.041666667,7.75,0.5,3.323306485,0
27112.49485,0.073598497,0,8.333333333,0.063829787,2.898418566,0
27851.18379,0.074098361,0,8.333333333,0.066371681,2.896366772,0
29084.46319,0.074508451,0,8.333333333,0.069444444,2.872483562,0
